conj,time_utc,year,month,day,relpath,url
2022-03-07T0833,2022-03-02T00:00:00,2022,03,02,L1/2022/03/02/solo_L1_eui-hrieuv174-image_20220302T000000201_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/02/solo_L1_eui-hrieuv174-image_20220302T000000201_V03.fits
2022-03-07T0833,2022-03-03T00:00:00,2022,03,03,L1/2022/03/03/solo_L1_eui-hrieuv174-image_20220303T000000351_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/03/solo_L1_eui-hrieuv174-image_20220303T000000351_V03.fits
2022-03-07T0833,2022-03-04T10:45:00,2022,03,04,L1/2022/03/04/solo_L1_eui-hrieuv174-image_20220304T104500192_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/04/solo_L1_eui-hrieuv174-image_20220304T104500192_V03.fits
2022-03-07T0833,2022-03-05T15:20:00,2022,03,05,L1/2022/03/05/solo_L1_eui-hrieuv174-image_20220305T152000247_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/05/solo_L1_eui-hrieuv174-image_20220305T152000247_V03.fits
2022-03-07T0833,2022-03-06T17:36:30,2022,03,06,L1/2022/03/06/solo_L1_eui-hrieuv174-image_20220306T173630291_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/06/solo_L1_eui-hrieuv174-image_20220306T173630291_V03.fits
2022-03-07T0833,2022-03-07T00:29:46,2022,03,07,L1/2022/03/07/solo_L1_eui-hrieuv174-image_20220307T002946572_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/07/solo_L1_eui-hrieuv174-image_20220307T002946572_V03.fits
2022-03-07T0833,2022-03-08T00:00:00,2022,03,08,L1/2022/03/08/solo_L1_eui-hrieuv174-image_20220308T000000229_V03.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2022/03/08/solo_L1_eui-hrieuv174-image_20220308T000000229_V03.fits
2023-03-28T2130,2023-03-22T00:02:07,2023,03,22,L1/2023/03/22/solo_L1_eui-hrieuv174-image_20230322T000207272_V02.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2023/03/22/solo_L1_eui-hrieuv174-image_20230322T000207272_V02.fits
2023-03-28T2130,2023-03-28T20:30:04,2023,03,28,L1/2023/03/28/solo_L1_eui-hrieuv174-image_20230328T203004188_V02.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2023/03/28/solo_L1_eui-hrieuv174-image_20230328T203004188_V02.fits
2023-03-28T2130,2023-03-29T11:10:00,2023,03,29,L1/2023/03/29/solo_L1_eui-hrieuv174-image_20230329T111000163_V02.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2023/03/29/solo_L1_eui-hrieuv174-image_20230329T111000163_V02.fits
2023-03-28T2130,2023-03-30T14:55:06,2023,03,30,L1/2023/03/30/solo_L1_eui-hrieuv174-image_20230330T145506221_V02.fits,https://www.sidc.be/EUI/data/releases/202510_release_7.0/L1/2023/03/30/solo_L1_eui-hrieuv174-image_20230330T145506221_V02.fits
